County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
NAKURU,"12,425","5,064","7,359","4,256","1,997","2,258","14,270","5,474","8,795","6,947","2,994","3,950","5,110","2,415","2,695","4,078","2,288","1,789"
GILGIL,"1,385",554,831,456,195,261,"1,658",600,"1,058",837,337,500,520,234,286,426,229,197
KURESOI NORTH,808,358,450,303,145,157,870,328,542,531,221,310,349,160,189,287,151,135
KURESOI SOUTH,390,191,199,241,123,118,569,264,305,278,156,122,300,165,135,199,121,78
MOLO,"1,322",513,809,381,171,210,"1,429",519,910,675,271,403,455,207,248,355,205,150
NAIVASHA,"2,050",826,"1,222",662,303,359,"2,240",876,"1,364","1,033",429,603,713,348,365,633,352,281
NAKURU EAST,"1,355",528,827,305,159,146,"1,184",439,744,496,228,268,413,191,222,367,214,153
NAKURU NORTH,"1,485",567,918,486,211,275,"1,809",674,"1,135",987,391,595,705,322,383,516,281,235
NAKURU WEST,695,306,389,207,105,102,636,300,336,232,108,124,247,131,116,238,137,101
NJORO,"1,229",508,721,514,230,284,"1,589",595,994,755,350,405,608,297,311,454,259,195
